name,id,hp,number,images,types,nationalPokedexNumbers
Victreebel,ex12-13,100.0,13,"{'small': 'https://images.pokemontcg.io/ex12/13.png', 'large': 'https://images.pokemontcg.io/ex12/13_hires.png'}",['Grass'],[71]
Virizion,xy7-12,110.0,12,"{'small': 'https://images.pokemontcg.io/xy7/12.png', 'large': 'https://images.pokemontcg.io/xy7/12_hires.png'}",['Grass'],[640]
Charmander,sm9-12,70.0,12,"{'small': 'https://images.pokemontcg.io/sm9/12.png', 'large': 'https://images.pokemontcg.io/sm9/12_hires.png'}",['Fire'],[4]
Volcarona,bw10-13,100.0,13,"{'small': 'https://images.pokemontcg.io/bw10/13.png', 'large': 'https://images.pokemontcg.io/bw10/13_hires.png'}",['Fire'],[637]
Magneton,neo3-10,80.0,10,"{'small': 'https://images.pokemontcg.io/neo3/10.png', 'large': 'https://images.pokemontcg.io/neo3/10_hires.png'}",['Metal'],[82]
Sewaddle,sm11-6,50.0,6,"{'small': 'https://images.pokemontcg.io/sm11/6.png', 'large': 'https://images.pokemontcg.io/sm11/6_hires.png'}",['Grass'],[540]
Hitmontop,neo2-3,60.0,3,"{'small': 'https://images.pokemontcg.io/neo2/3.png', 'large': 'https://images.pokemontcg.io/neo2/3_hires.png'}",['Fighting'],[237]
Decidueye,sm1-11,140.0,11,"{'small': 'https://images.pokemontcg.io/sm1/11.png', 'large': 'https://images.pokemontcg.io/sm1/11_hires.png'}",['Grass'],[724]
Wimpod,sma-SV4,70.0,SV4,"{'small': 'https://images.pokemontcg.io/sma/SV4.png', 'large': 'https://images.pokemontcg.io/sma/SV4_hires.png'}",['Grass'],[767]
Karrablast,bw5-9,60.0,9,"{'small': 'https://images.pokemontcg.io/bw5/9.png', 'large': 'https://images.pokemontcg.io/bw5/9_hires.png'}",['Grass'],[588]
Blissey,dp2-5,130.0,5,"{'small': 'https://images.pokemontcg.io/dp2/5.png', 'large': 'https://images.pokemontcg.io/dp2/5_hires.png'}",['Colorless'],[242]
Machamp,det1-13,160.0,13,"{'small': 'https://images.pokemontcg.io/det1/13.png', 'large': 'https://images.pokemontcg.io/det1/13_hires.png'}",['Fighting'],[68]
Empoleon LV.X,dpp-DP11,140.0,DP11,"{'small': 'https://images.pokemontcg.io/dpp/DP11.png', 'large': 'https://images.pokemontcg.io/dpp/DP11_hires.png'}",['Water'],[395]
Cradily,sm12-11,150.0,11,"{'small': 'https://images.pokemontcg.io/sm12/11.png', 'large': 'https://images.pokemontcg.io/sm12/11_hires.png'}",['Grass'],[346]
Nidoking,base1-11,90.0,11,"{'small': 'https://images.pokemontcg.io/base1/11.png', 'large': 'https://images.pokemontcg.io/base1/11_hires.png'}",['Grass'],[34]
Lucario GL,pl2-8,80.0,8,"{'small': 'https://images.pokemontcg.io/pl2/8.png', 'large': 'https://images.pokemontcg.io/pl2/8_hires.png'}",['Fighting'],[448]
Scatterbug,sm6-5,30.0,5,"{'small': 'https://images.pokemontcg.io/sm6/5.png', 'large': 'https://images.pokemontcg.io/sm6/5_hires.png'}",['Grass'],[664]
Swadloon,bw8-9,80.0,9,"{'small': 'https://images.pokemontcg.io/bw8/9.png', 'large': 'https://images.pokemontcg.io/bw8/9_hires.png'}",['Grass'],[541]
Pikachu,hsp-HGSS03,70.0,HGSS03,"{'small': 'https://images.pokemontcg.io/hsp/HGSS03.png', 'large': 'https://images.pokemontcg.io/hsp/HGSS03_hires.png'}",['Lightning'],[25]
Jolteon,ex2-6,70.0,6,"{'small': 'https://images.pokemontcg.io/ex2/6.png', 'large': 'https://images.pokemontcg.io/ex2/6_hires.png'}",['Lightning'],[135]
Petilil,bw1-9,50.0,9,"{'small': 'https://images.pokemontcg.io/bw1/9.png', 'large': 'https://images.pokemontcg.io/bw1/9_hires.png'}",['Grass'],[548]
Kyogre ex,np-1,120.0,1,"{'small': 'https://images.pokemontcg.io/np/1.png', 'large': 'https://images.pokemontcg.io/np/1_hires.png'}",['Water'],[382]
Rapidash,xy2-15,90.0,15,"{'small': 'https://images.pokemontcg.io/xy2/15.png', 'large': 'https://images.pokemontcg.io/xy2/15_hires.png'}",['Fire'],[78]
Ninetales,base1-12,80.0,12,"{'small': 'https://images.pokemontcg.io/base1/12.png', 'large': 'https://images.pokemontcg.io/base1/12_hires.png'}",['Fire'],[38]
Leafeon,bw9-11,100.0,11,"{'small': 'https://images.pokemontcg.io/bw9/11.png', 'large': 'https://images.pokemontcg.io/bw9/11_hires.png'}",['Grass'],[470]
Forretress,ecard3-H8,70.0,H8,"{'small': 'https://images.pokemontcg.io/ecard3/H8.png', 'large': 'https://images.pokemontcg.io/ecard3/H8_hires.png'}",['Metal'],[205]
Swampert,pl3-12,130.0,12,"{'small': 'https://images.pokemontcg.io/pl3/12.png', 'large': 'https://images.pokemontcg.io/pl3/12_hires.png'}",['Water'],[260]
Smeargle,hgss3-8,70.0,8,"{'small': 'https://images.pokemontcg.io/hgss3/8.png', 'large': 'https://images.pokemontcg.io/hgss3/8_hires.png'}",['Colorless'],[235]
Slugma,xy0-6,80.0,6,"{'small': 'https://images.pokemontcg.io/xy0/6.png', 'large': 'https://images.pokemontcg.io/xy0/6_hires.png'}",['Fire'],[218]
Snivy,bw7-11,60.0,11,"{'small': 'https://images.pokemontcg.io/bw7/11.png', 'large': 'https://images.pokemontcg.io/bw7/11_hires.png'}",['Grass'],[495]
Nidoking,ex6-8,120.0,8,"{'small': 'https://images.pokemontcg.io/ex6/8.png', 'large': 'https://images.pokemontcg.io/ex6/8_hires.png'}",['Fighting'],[34]
Rocket's Mewtwo,gym2-14,70.0,14,"{'small': 'https://images.pokemontcg.io/gym2/14.png', 'large': 'https://images.pokemontcg.io/gym2/14_hires.png'}",['Psychic'],[150]
Heracross,sm3-11,110.0,11,"{'small': 'https://images.pokemontcg.io/sm3/11.png', 'large': 'https://images.pokemontcg.io/sm3/11_hires.png'}",['Grass'],[214]
Fraxure,dv1-15,80.0,15,"{'small': 'https://images.pokemontcg.io/dv1/15.png', 'large': 'https://images.pokemontcg.io/dv1/15_hires.png'}",['Dragon'],[611]
Shelmet,bw5-10,60.0,10,"{'small': 'https://images.pokemontcg.io/bw5/10.png', 'large': 'https://images.pokemontcg.io/bw5/10_hires.png'}",['Grass'],[616]
Nincada,xy6-9,40.0,9,"{'small': 'https://images.pokemontcg.io/xy6/9.png', 'large': 'https://images.pokemontcg.io/xy6/9_hires.png'}",['Grass'],[290]
Hitmonlee,base6-13,60.0,13,"{'small': 'https://images.pokemontcg.io/base6/13.png', 'large': 'https://images.pokemontcg.io/base6/13_hires.png'}",['Fighting'],[106]
Shuckle,swsh2-5,80.0,5,"{'small': 'https://images.pokemontcg.io/swsh2/5.png', 'large': 'https://images.pokemontcg.io/swsh2/5_hires.png'}",['Grass'],[213]
Squirtle,bw10-14,50.0,14,"{'small': 'https://images.pokemontcg.io/bw10/14.png', 'large': 'https://images.pokemontcg.io/bw10/14_hires.png'}",['Water'],[7]
Mow Rotom,sm5-14,90.0,14,"{'small': 'https://images.pokemontcg.io/sm5/14.png', 'large': 'https://images.pokemontcg.io/sm5/14_hires.png'}",['Grass'],[479]
Metapod,g1-4,70.0,4,"{'small': 'https://images.pokemontcg.io/g1/4.png', 'large': 'https://images.pokemontcg.io/g1/4_hires.png'}",['Grass'],[11]
Lucario,ru1-12,90.0,12,"{'small': 'https://images.pokemontcg.io/ru1/12.png', 'large': 'https://images.pokemontcg.io/ru1/12_hires.png'}",['Fighting'],[448]
Ampharos,hgss1-14,120.0,14,"{'small': 'https://images.pokemontcg.io/hgss1/14.png', 'large': 'https://images.pokemontcg.io/hgss1/14_hires.png'}",['Lightning'],[181]
Petilil,bw3-4,60.0,4,"{'small': 'https://images.pokemontcg.io/bw3/4.png', 'large': 'https://images.pokemontcg.io/bw3/4_hires.png'}",['Grass'],[548]
Dialga,dp5-4,100.0,4,"{'small': 'https://images.pokemontcg.io/dp5/4.png', 'large': 'https://images.pokemontcg.io/dp5/4_hires.png'}",['Metal'],[483]
Butterfree,ecard1-5,80.0,5,"{'small': 'https://images.pokemontcg.io/ecard1/5.png', 'large': 'https://images.pokemontcg.io/ecard1/5_hires.png'}",['Grass'],[12]
Wailord V,swsh35-13,280.0,13,"{'small': 'https://images.pokemontcg.io/swsh35/13.png', 'large': 'https://images.pokemontcg.io/swsh35/13_hires.png'}",['Water'],[321]
Gyarados,base6-12,100.0,12,"{'small': 'https://images.pokemontcg.io/base6/12.png', 'large': 'https://images.pokemontcg.io/base6/12_hires.png'}",['Water'],[130]
Ledian,sm3-10,90.0,10,"{'small': 'https://images.pokemontcg.io/sm3/10.png', 'large': 'https://images.pokemontcg.io/sm3/10_hires.png'}",['Grass'],[166]
Caterpie,g1-3,40.0,3,"{'small': 'https://images.pokemontcg.io/g1/3.png', 'large': 'https://images.pokemontcg.io/g1/3_hires.png'}",['Grass'],[10]
Arbok,ecard1-3,70.0,3,"{'small': 'https://images.pokemontcg.io/ecard1/3.png', 'large': 'https://images.pokemontcg.io/ecard1/3_hires.png'}",['Grass'],[24]
Team Aqua's Spheal,dc1-3,60.0,3,"{'small': 'https://images.pokemontcg.io/dc1/3.png', 'large': 'https://images.pokemontcg.io/dc1/3_hires.png'}",['Water'],[363]
Nidoqueen,base4-12,90.0,12,"{'small': 'https://images.pokemontcg.io/base4/12.png', 'large': 'https://images.pokemontcg.io/base4/12_hires.png'}",['Grass'],[31]
Absol,ex12-15,70.0,15,"{'small': 'https://images.pokemontcg.io/ex12/15.png', 'large': 'https://images.pokemontcg.io/ex12/15_hires.png'}",['Darkness'],[359]
Exploud,ex5-6,120.0,6,"{'small': 'https://images.pokemontcg.io/ex5/6.png', 'large': 'https://images.pokemontcg.io/ex5/6_hires.png'}",['Colorless'],[295]
Froslass,dp6-3,90.0,3,"{'small': 'https://images.pokemontcg.io/dp6/3.png', 'large': 'https://images.pokemontcg.io/dp6/3_hires.png'}",['Water'],[478]
Braixen,xy10-12,80.0,12,"{'small': 'https://images.pokemontcg.io/xy10/12.png', 'large': 'https://images.pokemontcg.io/xy10/12_hires.png'}",['Fire'],[654]
Weedle,xy12-5,40.0,5,"{'small': 'https://images.pokemontcg.io/xy12/5.png', 'large': 'https://images.pokemontcg.io/xy12/5_hires.png'}",['Grass'],[13]
Lilligant,bw1-10,80.0,10,"{'small': 'https://images.pokemontcg.io/bw1/10.png', 'large': 'https://images.pokemontcg.io/bw1/10_hires.png'}",['Grass'],[549]
Zekrom,bwp-BW005,130.0,BW005,"{'small': 'https://images.pokemontcg.io/bwp/BW005.png', 'large': 'https://images.pokemontcg.io/bwp/BW005_hires.png'}",['Lightning'],[644]
Sableye,ex14-10,60.0,10,"{'small': 'https://images.pokemontcg.io/ex14/10.png', 'large': 'https://images.pokemontcg.io/ex14/10_hires.png'}",['Darkness'],[302]
Virizion,bw11-15,110.0,15,"{'small': 'https://images.pokemontcg.io/bw11/15.png', 'large': 'https://images.pokemontcg.io/bw11/15_hires.png'}",['Grass'],[640]
Rocket's Scyther,gym1-13,60.0,13,"{'small': 'https://images.pokemontcg.io/gym1/13.png', 'large': 'https://images.pokemontcg.io/gym1/13_hires.png'}",['Grass'],[123]
Flareon,xy7-13,90.0,13,"{'small': 'https://images.pokemontcg.io/xy7/13.png', 'large': 'https://images.pokemontcg.io/xy7/13_hires.png'}",['Fire'],[136]
Glalie,ex9-13,80.0,13,"{'small': 'https://images.pokemontcg.io/ex9/13.png', 'large': 'https://images.pokemontcg.io/ex9/13_hires.png'}",['Water'],[362]
Torkoal,ex3-12,80.0,12,"{'small': 'https://images.pokemontcg.io/ex3/12.png', 'large': 'https://images.pokemontcg.io/ex3/12_hires.png'}",['Fire'],[324]
Houndoom,neo2-4,70.0,4,"{'small': 'https://images.pokemontcg.io/neo2/4.png', 'large': 'https://images.pokemontcg.io/neo2/4_hires.png'}",['Darkness'],[229]
Heracross δ,ex15-3,70.0,3,"{'small': 'https://images.pokemontcg.io/ex15/3.png', 'large': 'https://images.pokemontcg.io/ex15/3_hires.png'}",['Fire'],[214]
Misdreavus,neo3-11,50.0,11,"{'small': 'https://images.pokemontcg.io/neo3/11.png', 'large': 'https://images.pokemontcg.io/neo3/11_hires.png'}",['Psychic'],[200]
Chespin,xy8-9,60.0,9,"{'small': 'https://images.pokemontcg.io/xy8/9.png', 'large': 'https://images.pokemontcg.io/xy8/9_hires.png'}",['Grass'],[650]
Banette,ex16-4,70.0,4,"{'small': 'https://images.pokemontcg.io/ex16/4.png', 'large': 'https://images.pokemontcg.io/ex16/4_hires.png'}",['Psychic'],[354]
Jigglypuff,det1-14,60.0,14,"{'small': 'https://images.pokemontcg.io/det1/14.png', 'large': 'https://images.pokemontcg.io/det1/14_hires.png'}",['Fairy'],[39]
Tangrowth,dp4-10,110.0,10,"{'small': 'https://images.pokemontcg.io/dp4/10.png', 'large': 'https://images.pokemontcg.io/dp4/10_hires.png'}",['Grass'],[465]
Luxray GL,pl2-9,80.0,9,"{'small': 'https://images.pokemontcg.io/pl2/9.png', 'large': 'https://images.pokemontcg.io/pl2/9_hires.png'}",['Lightning'],[405]
Scizor,hgss3-7,90.0,7,"{'small': 'https://images.pokemontcg.io/hgss3/7.png', 'large': 'https://images.pokemontcg.io/hgss3/7_hires.png'}",['Metal'],[212]
Swadloon,bw2-6,70.0,6,"{'small': 'https://images.pokemontcg.io/bw2/6.png', 'large': 'https://images.pokemontcg.io/bw2/6_hires.png'}",['Grass'],[541]
Reshiram-GX,sm75-11,180.0,11,"{'small': 'https://images.pokemontcg.io/sm75/11.png', 'large': 'https://images.pokemontcg.io/sm75/11_hires.png'}",['Fire'],[643]
Crustle,bw11-14,100.0,14,"{'small': 'https://images.pokemontcg.io/bw11/14.png', 'large': 'https://images.pokemontcg.io/bw11/14_hires.png'}",['Grass'],[558]
Mudkip,pop4-11,50.0,11,"{'small': 'https://images.pokemontcg.io/pop4/11.png', 'large': 'https://images.pokemontcg.io/pop4/11_hires.png'}",['Water'],[258]
Kingdra δ,ex13-10,110.0,10,"{'small': 'https://images.pokemontcg.io/ex13/10.png', 'large': 'https://images.pokemontcg.io/ex13/10_hires.png'}","['Fire', 'Metal']",[230]
Minun,pop1-12,50.0,12,"{'small': 'https://images.pokemontcg.io/pop1/12.png', 'large': 'https://images.pokemontcg.io/pop1/12_hires.png'}",['Lightning'],[312]
Arcanine,bw4-12,130.0,12,"{'small': 'https://images.pokemontcg.io/bw4/12.png', 'large': 'https://images.pokemontcg.io/bw4/12_hires.png'}",['Fire'],[59]
Fennekin,mcd16-3,50.0,3,"{'small': 'https://images.pokemontcg.io/mcd16/3.png', 'large': 'https://images.pokemontcg.io/mcd16/3_hires.png'}",['Fire'],[653]
Infernape,dp7-3,120.0,3,"{'small': 'https://images.pokemontcg.io/dp7/3.png', 'large': 'https://images.pokemontcg.io/dp7/3_hires.png'}",['Fighting'],[392]
Roselia,bw6-12,70.0,12,"{'small': 'https://images.pokemontcg.io/bw6/12.png', 'large': 'https://images.pokemontcg.io/bw6/12_hires.png'}",['Grass'],[315]
Rhyperior,dp1-12,140.0,12,"{'small': 'https://images.pokemontcg.io/dp1/12.png', 'large': 'https://images.pokemontcg.io/dp1/12_hires.png'}",['Fighting'],[464]
Kingdra,ex7-12,120.0,12,"{'small': 'https://images.pokemontcg.io/ex7/12.png', 'large': 'https://images.pokemontcg.io/ex7/12_hires.png'}",['Water'],[230]
Blastoise,ecard1-4,100.0,4,"{'small': 'https://images.pokemontcg.io/ecard1/4.png', 'large': 'https://images.pokemontcg.io/ecard1/4_hires.png'}",['Water'],[9]
Heracross-EX,xy3-4,170.0,4,"{'small': 'https://images.pokemontcg.io/xy3/4.png', 'large': 'https://images.pokemontcg.io/xy3/4_hires.png'}",['Grass'],[214]
Ludicolo,ex2-7,90.0,7,"{'small': 'https://images.pokemontcg.io/ex2/7.png', 'large': 'https://images.pokemontcg.io/ex2/7_hires.png'}",['Water'],[272]
Treecko,sm7-7,50.0,7,"{'small': 'https://images.pokemontcg.io/sm7/7.png', 'large': 'https://images.pokemontcg.io/sm7/7_hires.png'}",['Grass'],[252]
Sobble,swshp-SWSH003,60.0,SWSH003,"{'small': 'https://images.pokemontcg.io/swshp/SWSH003.png', 'large': 'https://images.pokemontcg.io/swshp/SWSH003_hires.png'}",['Water'],[816]
Lucario LV.X,dpp-DP12,110.0,DP12,"{'small': 'https://images.pokemontcg.io/dpp/DP12.png', 'large': 'https://images.pokemontcg.io/dpp/DP12_hires.png'}",['Fighting'],[448]
Banette,hgss4-14,80.0,14,"{'small': 'https://images.pokemontcg.io/hgss4/14.png', 'large': 'https://images.pokemontcg.io/hgss4/14_hires.png'}",['Psychic'],[354]
Exeggcute,sm4-4,50.0,4,"{'small': 'https://images.pokemontcg.io/sm4/4.png', 'large': 'https://images.pokemontcg.io/sm4/4_hires.png'}",['Grass'],[102]
Light Azumarill,neo4-13,80.0,13,"{'small': 'https://images.pokemontcg.io/neo4/13.png', 'large': 'https://images.pokemontcg.io/neo4/13_hires.png'}",['Water'],[184]
Lampent,sm2-12,80.0,12,"{'small': 'https://images.pokemontcg.io/sm2/12.png', 'large': 'https://images.pokemontcg.io/sm2/12_hires.png'}",['Fire'],[608]
Litten,sm75-12,60.0,12,"{'small': 'https://images.pokemontcg.io/sm75/12.png', 'large': 'https://images.pokemontcg.io/sm75/12_hires.png'}",['Fire'],[725]
Carnivine,swsh3-5,90.0,5,"{'small': 'https://images.pokemontcg.io/swsh3/5.png', 'large': 'https://images.pokemontcg.io/swsh3/5_hires.png'}",['Grass'],[455]
Chandelure,sm2-13,140.0,13,"{'small': 'https://images.pokemontcg.io/sm2/13.png', 'large': 'https://images.pokemontcg.io/sm2/13_hires.png'}",['Fire'],[609]
Leafeon-GX,sm5-13,200.0,13,"{'small': 'https://images.pokemontcg.io/sm5/13.png', 'large': 'https://images.pokemontcg.io/sm5/13_hires.png'}",['Grass'],[470]
Mawile,ex14-9,60.0,9,"{'small': 'https://images.pokemontcg.io/ex14/9.png', 'large': 'https://images.pokemontcg.io/ex14/9_hires.png'}",['Metal'],[303]
Talonflame,xy4-10,130.0,10,"{'small': 'https://images.pokemontcg.io/xy4/10.png', 'large': 'https://images.pokemontcg.io/xy4/10_hires.png'}",['Fire'],[663]
Drednaw V,swsh35-14,210.0,14,"{'small': 'https://images.pokemontcg.io/swsh35/14.png', 'large': 'https://images.pokemontcg.io/swsh35/14_hires.png'}",['Water'],[834]
Porygon2,ex10-12,70.0,12,"{'small': 'https://images.pokemontcg.io/ex10/12.png', 'large': 'https://images.pokemontcg.io/ex10/12_hires.png'}",['Colorless'],[233]
Leafeon,col1-13,90.0,13,"{'small': 'https://images.pokemontcg.io/col1/13.png', 'large': 'https://images.pokemontcg.io/col1/13_hires.png'}",['Grass'],[470]
Raichu,base3-14,90.0,14,"{'small': 'https://images.pokemontcg.io/base3/14.png', 'large': 'https://images.pokemontcg.io/base3/14_hires.png'}",['Lightning'],[26]
Simisage,xy1-11,90.0,11,"{'small': 'https://images.pokemontcg.io/xy1/11.png', 'large': 'https://images.pokemontcg.io/xy1/11_hires.png'}",['Grass'],[512]
Kangaskhan,base2-5,90.0,5,"{'small': 'https://images.pokemontcg.io/base2/5.png', 'large': 'https://images.pokemontcg.io/base2/5_hires.png'}",['Colorless'],[115]
Celebi,swsh4-9,60.0,9,"{'small': 'https://images.pokemontcg.io/swsh4/9.png', 'large': 'https://images.pokemontcg.io/swsh4/9_hires.png'}",['Grass'],[251]
Larvesta,xy11-14,70.0,14,"{'small': 'https://images.pokemontcg.io/xy11/14.png', 'large': 'https://images.pokemontcg.io/xy11/14_hires.png'}",['Grass'],[636]
Starmie-GX,sm115-14,190.0,14,"{'small': 'https://images.pokemontcg.io/sm115/14.png', 'large': 'https://images.pokemontcg.io/sm115/14_hires.png'}",['Water'],[121]
Charmeleon,sm9-13,90.0,13,"{'small': 'https://images.pokemontcg.io/sm9/13.png', 'large': 'https://images.pokemontcg.io/sm9/13_hires.png'}",['Fire'],[5]
Leavanny,bw8-10,140.0,10,"{'small': 'https://images.pokemontcg.io/bw8/10.png', 'large': 'https://images.pokemontcg.io/bw8/10_hires.png'}",['Grass'],[542]
Mew,dp3-15,60.0,15,"{'small': 'https://images.pokemontcg.io/dp3/15.png', 'large': 'https://images.pokemontcg.io/dp3/15_hires.png'}",['Psychic'],[151]
Oddish,sm10-5,50.0,5,"{'small': 'https://images.pokemontcg.io/sm10/5.png', 'large': 'https://images.pokemontcg.io/sm10/5_hires.png'}",['Grass'],[43]
Groudon ex,np-2,120.0,2,"{'small': 'https://images.pokemontcg.io/np/2.png', 'large': 'https://images.pokemontcg.io/np/2_hires.png'}",['Fighting'],[383]
Wartortle,si1-15,60.0,15,"{'small': 'https://images.pokemontcg.io/si1/15.png', 'large': 'https://images.pokemontcg.io/si1/15_hires.png'}",['Water'],[8]
Ninetales,base4-13,80.0,13,"{'small': 'https://images.pokemontcg.io/base4/13.png', 'large': 'https://images.pokemontcg.io/base4/13_hires.png'}",['Fire'],[38]
Tropius,sm12-12,120.0,12,"{'small': 'https://images.pokemontcg.io/sm12/12.png', 'large': 'https://images.pokemontcg.io/sm12/12_hires.png'}",['Grass'],[357]
Decidueye-GX,sm1-12,240.0,12,"{'small': 'https://images.pokemontcg.io/sm1/12.png', 'large': 'https://images.pokemontcg.io/sm1/12_hires.png'}",['Grass'],[724]
Lanturn,ecard2-H15,80.0,H15,"{'small': 'https://images.pokemontcg.io/ecard2/H15.png', 'large': 'https://images.pokemontcg.io/ecard2/H15_hires.png'}",['Lightning'],[171]
Starmie δ,ex11-15,60.0,15,"{'small': 'https://images.pokemontcg.io/ex11/15.png', 'large': 'https://images.pokemontcg.io/ex11/15_hires.png'}","['Water', 'Metal']",[121]
Ariados,hgss1-15,80.0,15,"{'small': 'https://images.pokemontcg.io/hgss1/15.png', 'large': 'https://images.pokemontcg.io/hgss1/15_hires.png'}",['Grass'],[168]
Scatterbug,sm6-6,40.0,6,"{'small': 'https://images.pokemontcg.io/sm6/6.png', 'large': 'https://images.pokemontcg.io/sm6/6_hires.png'}",['Grass'],[664]
Delcatty,ex1-5,70.0,5,"{'small': 'https://images.pokemontcg.io/ex1/5.png', 'large': 'https://images.pokemontcg.io/ex1/5_hires.png'}",['Colorless'],[301]
Mightyena,ex8-12,70.0,12,"{'small': 'https://images.pokemontcg.io/ex8/12.png', 'large': 'https://images.pokemontcg.io/ex8/12_hires.png'}",['Darkness'],[262]
Shaymin,pl1-15,80.0,15,"{'small': 'https://images.pokemontcg.io/pl1/15.png', 'large': 'https://images.pokemontcg.io/pl1/15_hires.png'}",['Grass'],[492]
Pheromosa,sma-SV5,110.0,SV5,"{'small': 'https://images.pokemontcg.io/sma/SV5.png', 'large': 'https://images.pokemontcg.io/sma/SV5_hires.png'}",['Grass'],[795]
Cherrim,pop8-6,80.0,6,"{'small': 'https://images.pokemontcg.io/pop8/6.png', 'large': 'https://images.pokemontcg.io/pop8/6_hires.png'}",['Grass'],[421]
Aerodactyl,pl4-13,80.0,13,"{'small': 'https://images.pokemontcg.io/pl4/13.png', 'large': 'https://images.pokemontcg.io/pl4/13_hires.png'}",['Fighting'],[142]
Wobbuffet,hsp-HGSS04,90.0,HGSS04,"{'small': 'https://images.pokemontcg.io/hsp/HGSS04.png', 'large': 'https://images.pokemontcg.io/hsp/HGSS04_hires.png'}",['Psychic'],[202]
Surskit,xy5-13,50.0,13,"{'small': 'https://images.pokemontcg.io/xy5/13.png', 'large': 'https://images.pokemontcg.io/xy5/13_hires.png'}",['Grass'],[283]
Delphox,xy10-13,140.0,13,"{'small': 'https://images.pokemontcg.io/xy10/13.png', 'large': 'https://images.pokemontcg.io/xy10/13_hires.png'}",['Fire'],[655]
Dark Slowbro,base5-12,60.0,12,"{'small': 'https://images.pokemontcg.io/base5/12.png', 'large': 'https://images.pokemontcg.io/base5/12_hires.png'}",['Psychic'],[80]
Leavanny,bw2-7,130.0,7,"{'small': 'https://images.pokemontcg.io/bw2/7.png', 'large': 'https://images.pokemontcg.io/bw2/7_hires.png'}",['Grass'],[542]
Buneary,pop6-12,50.0,12,"{'small': 'https://images.pokemontcg.io/pop6/12.png', 'large': 'https://images.pokemontcg.io/pop6/12_hires.png'}",['Colorless'],[427]
Magneton,ecard2-H16,70.0,H16,"{'small': 'https://images.pokemontcg.io/ecard2/H16.png', 'large': 'https://images.pokemontcg.io/ecard2/H16_hires.png'}",['Metal'],[82]
Light Dragonite,neo4-14,100.0,14,"{'small': 'https://images.pokemontcg.io/neo4/14.png', 'large': 'https://images.pokemontcg.io/neo4/14_hires.png'}",['Colorless'],[149]
Lickitung,si1-16,70.0,16,"{'small': 'https://images.pokemontcg.io/si1/16.png', 'large': 'https://images.pokemontcg.io/si1/16_hires.png'}",['Colorless'],[108]
Haxorus,dv1-16,140.0,16,"{'small': 'https://images.pokemontcg.io/dv1/16.png', 'large': 'https://images.pokemontcg.io/dv1/16_hires.png'}",['Dragon'],[612]
Team Aqua's Sealeo,dc1-4,90.0,4,"{'small': 'https://images.pokemontcg.io/dc1/4.png', 'large': 'https://images.pokemontcg.io/dc1/4_hires.png'}",['Water'],[364]
Bronzong,dp2-6,90.0,6,"{'small': 'https://images.pokemontcg.io/dp2/6.png', 'large': 'https://images.pokemontcg.io/dp2/6_hires.png'}",['Metal'],[437]
Skuntank,ru1-13,90.0,13,"{'small': 'https://images.pokemontcg.io/ru1/13.png', 'large': 'https://images.pokemontcg.io/ru1/13_hires.png'}",['Darkness'],[435]
Pidgey,pop4-12,40.0,12,"{'small': 'https://images.pokemontcg.io/pop4/12.png', 'large': 'https://images.pokemontcg.io/pop4/12_hires.png'}",['Colorless'],[16]
Pidgeot,base4-14,80.0,14,"{'small': 'https://images.pokemontcg.io/base4/14.png', 'large': 'https://images.pokemontcg.io/base4/14_hires.png'}",['Colorless'],[18]
Hoppip,sm8-11,30.0,11,"{'small': 'https://images.pokemontcg.io/sm8/11.png', 'large': 'https://images.pokemontcg.io/sm8/11_hires.png'}",['Grass'],[187]
Cacnea,sm4-5,60.0,5,"{'small': 'https://images.pokemontcg.io/sm4/5.png', 'large': 'https://images.pokemontcg.io/sm4/5_hires.png'}",['Grass'],[331]
Groudon,ex9-14,80.0,14,"{'small': 'https://images.pokemontcg.io/ex9/14.png', 'large': 'https://images.pokemontcg.io/ex9/14_hires.png'}",['Fighting'],[383]
Chespin,xy1-12,60.0,12,"{'small': 'https://images.pokemontcg.io/xy1/12.png', 'large': 'https://images.pokemontcg.io/xy1/12_hires.png'}",['Grass'],[650]
Maractus,bw1-11,80.0,11,"{'small': 'https://images.pokemontcg.io/bw1/11.png', 'large': 'https://images.pokemontcg.io/bw1/11_hires.png'}",['Grass'],[556]
Genesect,bw11-16,110.0,16,"{'small': 'https://images.pokemontcg.io/bw11/16.png', 'large': 'https://images.pokemontcg.io/bw11/16_hires.png'}",['Grass'],[649]
Dustox,ex1-6,90.0,6,"{'small': 'https://images.pokemontcg.io/ex1/6.png', 'large': 'https://images.pokemontcg.io/ex1/6_hires.png'}",['Grass'],[269]
Kakuna,xy12-6,80.0,6,"{'small': 'https://images.pokemontcg.io/xy12/6.png', 'large': 'https://images.pokemontcg.io/xy12/6_hires.png'}",['Grass'],[14]
Feraligatr,neo1-5,120.0,5,"{'small': 'https://images.pokemontcg.io/neo1/5.png', 'large': 'https://images.pokemontcg.io/neo1/5_hires.png'}",['Water'],[160]
Entei,xy7-14,120.0,14,"{'small': 'https://images.pokemontcg.io/xy7/14.png', 'large': 'https://images.pokemontcg.io/xy7/14_hires.png'}",['Fire'],[244]
Nidoqueen,base2-7,90.0,7,"{'small': 'https://images.pokemontcg.io/base2/7.png', 'large': 'https://images.pokemontcg.io/base2/7_hires.png'}",['Grass'],[31]
